id,name,description,acronyme,billing_address_city,billing_address_country,billing_address_postalcode,date_fermeture,date_ouverture,directeur_unite_id,delegation_regionale,email,equivalence_autre_institut,etat_avancement_convention,idexternecpa,status,website,cotutelles,mandat_demander,typologie_mandat,thematique,thematique_mandat,annee_renouvellement,decision_apres_evaluation,vague_renouvellement,mandataire_unique_pi_valo,mandataire_unique_collab_rd,team_id,team_set_id,assigned_user_id,structure_valorisation_id,delegation_global_gestion_id,delegation_regionale_id,type_convention,pui,num_rnsr
161876,"U1011 (mixte Lille, Pasteur Lille et CHRU Lille depuis 2020) - NUCLEAR","RECEPTEURS NUCLEAIRES, MALADIES CARDIOVASCULAIRES ET DIABETE",U1011,Lille,63,59045,,2010-01-01,137427,DR Nord Ouest,,,,14316337,actif,,Université de Lille; Centre Hospitalier Universitaire de Lille; Institut Pasteur de Lille,,,0,,,renouvellee,e,INSERM / INSERM-TRANSFERT,INSERM / INSERM-TRANSFERT,1,1,14578880,163441,,157179,,lille,201019064H
161883,U1003 (mixte Lille 1) - PhyCel,LABORATOIRE DE PHYSIOLOGIE CELLULAIRE,U1003,Villeneuve d'ascq,63,59655,,2010-01-01,141819,DR Nord Ouest,,,,14322500,actif,,Université des Sciences et Technologies de Lille 1,,,0,,,renouvellee,e,Université de Lille,Université de Lille,1,1,14578880,163441,,157179,,lille,200616190B
161888,U992 (mixte Paris XI et CEA),NEUROIMAGERIE COGNITIVE,U992,Gif sur yvette,63,91191,,2010-01-01,141971,DR Paris-IDF Sud (ex Paris 11),,,,14325912,actif,,CEA - Commissariat à l'énergie atomique et aux énergies alternatives; Université Paris-Saclay,,,0,,,renouvellee,e,,,1,1,14578880,164192,,158456,,paris_saclay,200616272R
161889,U993 (mixte Pasteur Paris),ORGANISATION NUCLEAIRE ET ONCOGENESE,U993,Paris,63,75724,,2010-01-01,142018,DR Paris-IDF Centre Est (ex Paris 6-12),,,signee,14326097,actif,,Institut Pasteur Paris,,,0,,,renouvellee,e,Institut Pasteur Paris,Institut Pasteur Paris,1,1,,,,158452,convention_cadre,paris_cite,201421920V
161892,U996 (mixte Paris XI) - MI2,"INFLAMMATION, CHIMIOKINES ET IMMUNOPATHOLOGIE

Répartition par équipe: 
MU Inserm (Equipe F. Bachelerie)
MU UPSaclay (Equipe M. Pallardy)
",U996,Clamart,63,92140,,2010-01-01,143264,DR Paris-IDF Sud (ex Paris 11),,,,14326664,actif,,Université Paris-Saclay,,repartition_equipe,0,,,renouvellee,e,Répartition par équipes,Répartition par équipes,1,1,14288033,164192,,158456,,paris_saclay,201019138N
161925,U988 (mixte CNRS et Paris V (EHESS jusqu'à fin 2018)) - CERMES 3,"CERMES 3 - CENTRE DE RECHERCHE MEDECINE, SCIENCES, SANTE , SANTE MENTALE ET SOCIETE",U988,Villejuif,63,94801,,2010-01-01,223175,DR Paris-IDF Sud (ex Paris 11),,UM 7 ; UMR 8211 ; UMR_S 988 - CERMES3,,14252031,actif,,Université Paris Cité; CNRS,,,0,,,,d,CNRS,,1,1,14578880,163410,,158456,,paris_cite,200217606H
161928,U1016 (mixte Paris V et CNRS),"INSTITUT COCHIN

",U1016,Paris,63,75014,,2010-01-01,146467,DR Paris-IDF Centre Nord (ex Paris 5-7),,UMR_S 1016 UMR 8104 - INSTITUT COCHIN,,14252492,actif,,Université Paris Descartes (Paris V); CNRS,,alliance,0,,2024,,d,Alliance,,1,1,14578880,163410,,161184,,paris_cite,200217519N
161931,U1008 (mixte Lille 2 et CHRU Lille) - ADDS,MEDICAMENTS ET BIOMATERIAUX A LIBERATION CONTROLEE : MECANISMES ET OPTIMISATION,U1008,Lille,63,59006,,2010-01-01,143979,DR Nord Ouest,,,,14296741,actif,,Université du Droit et de la Santé - Lille 2; Centre Hospitalier Universitaire de Lille,,,0,,,renouvellee,e,Université de Lille,Université de Lille,1,1,14578880,163441,,157179,,lille,201019107E
161947,"U997 (mixte Paris XIII, EHESS et CNRS) - IRIS","INSTITUT DE RECHERCHE INTERDISCIPLINAIRE SUR LES ENJEUX SOCIAUX. SCIENCES SOCIALES, POLITIQUE, SANTE",U997,Aubervilliers,63,75244,,2010-01-01,960ad6f2-f799-1977-9db9-56c6188a74db,DR Paris-IDF Centre Nord (ex Paris 5-7),,CNRS UMR8156,,14348698,actif,,Université Paris 13 Paris Nord (dit Université Sorbonne Paris Nord); Ecole des Hautes Etudes en Sciences Sociales; Université Paris Cité; CNRS,,alliance,0,,,,d,Alliance,,1,1,14578880,163410,,161184,,,200812809T
161949,U999 (mixte Paris XI) - HPPIT,HYPERTENSION ARTERIELLE PULMONAIRE - PHYSIOPATHOLOGIE ET INNOVATION THERAPEUTIQUE,U999,Le plessis-robinson,63,92350,,2010-01-01,143990,DR Paris-IDF Sud (ex Paris 11),,,,14349696,actif,,Université Paris-Saclay,,,0,,,renouvellee,e,INSERM / INSERM-TRANSFERT,INSERM / INSERM-TRANSFERT,1,1,14578880,164192,,158456,,paris_saclay,201521296M
161950,U1018 (mixte Paris XI et Versailles),"CENTRE DE RECHERCHE EN EPIDEMIOLOGIE ET SANTE DES POPULATIONS : CESP

Mandat d'UPSUD mais pas d'UVSQ",U1018,Villejuif,63,94807,,2010-01-01,142881,DR Paris-IDF Sud (ex Paris 11),,,,14349371,actif,,Université Versailles - St-Quentin-en-Yvelines; Université Paris-Saclay,,,0,,,renouvellee,e,INSERM / INSERM-TRANSFERT,INSERM / INSERM-TRANSFERT,1,1,14578880,164192,,158456,,paris_saclay,201019083D
161973,U1015 (mixte Paris XI et IGR),IMMUNOLOGIE DES TUMEURS ET IMMUNOTHERAPIE,U1015,Villejuif,63,94805,,2010-01-01,139378,DR Paris-IDF Sud (ex Paris 11),,,,14418710,actif,,Université Paris-Saclay; Institut Gustave Roussy,,,0,,,renouvellee,e,,,1,1,14578880,164192,,158456,,paris_saclay,200616463Y
161991,U951 (mixte Evry (EPHE jusqu'en 2019)),"APPROCHES GENETIQUES INTEGREES ET NOUVELLES THERAPIES POUR LES MALADIES RARES

Accord cadre en cours de négo avec Genethon

Il faut désigner le Genethon copro",U951,Evry,63,91002,,2009-01-01,47d951fe-b457-6847-ef47-56264678d508,DR Paris-IDF Sud (ex Paris 11),,,,13922686,actif,,Université d'Evry Val d'Essonne,,,0,,,,e,,,1,1,,164192,,158456,,paris_saclay,201019028U
161999,"U934 (mixte Curie, Paris VI et CNRS) - UGBD",GENETIQUE ET BIOLOGIE DU DEVELOPPEMENT,U934,Paris Cedex 05,63,75248,,2009-01-01,224246,DR Paris-IDF Centre Est (ex Paris 6-12),,CNRS UMR3215,,13925234,actif,,CNRS; Sorbonne Université; INSTITUT CURIE-PSL,,,0,,,,d,INSTITUT CURIE-PSL,INSTITUT CURIE-PSL,1,1,14578880,164189,,158452,,paris_psl,200919211X
162000,U933 (mixte Paris VI),Maladies génétiques d'expression pédiatrique,U933,Paris,63,75571,,2009-01-01,224365,DR Paris-IDF Centre Est (ex Paris 6-12),,,,13925493,actif,,Sorbonne Université,,,0,,,,d,INSERM / INSERM-TRANSFERT,INSERM / INSERM-TRANSFERT,1,1,14578880,164189,,158452,,sorbonne_u,200918538R
162018,"U1019 (mixte Lille 2, CNRS, Pasteur Lille, Lille 1 et CHRU Lille depuis 2020) - CIIL","CENTRE D'INFECTION ET IMMUNITE DE LILLE (CIIL)

Attention certaines équipes ne sont pas labellisées Inserm :
L'équipe 4  - Biologie du Cancer et Chimie - Responsable : Oleg Melnyk ",U1019,Lille,63,59019,,2010-01-01,145395,DR Nord Ouest,,,,14234854,actif,,Université des Sciences et Technologies de Lille 1; Université du Droit et de la Santé - Lille 2; Institut Pasteur de Lille; CNRS; Centre Hospitalier Universitaire de Lille,,repartition_equipe,0,,,renouvellee,e,Répartition par équipes,,1,1,14578880,163441,,157179,,lille,201019101Y
162052,"U1021 (mixte Paris XI, Curie et CNRS)","SIGNALISATION NORMALE ET PATHOLOGIQUE, DE L'EMBRYON AUX THERAPIES INNOVANTES DES CANCERS",U1021,Orsay,63,91405,,2010-01-01,6548d356-38a2-bcae-f3d0-56dd67022737,DR Paris-IDF Centre Est (ex Paris 6-12),,,,14512042,actif,,Université Paris-Sud (ex Paris XI); CNRS; INSTITUT CURIE-PSL,,,0,,,renouvellee,e,INSTITUT CURIE-PSL,INSTITUT CURIE-PSL,1,1,14578880,164192,,158452,,paris_psl,201019050T
162055,U1024 (mixte ENS Paris et CNRS) - IBENS,INSTITUT DE BIOLOGIE DE L'ECOLE NORMALE SUPERIEURE (IBENS),U1024,Paris,63,75230,,2010-01-01,223257,DR Paris-IDF Centre Est (ex Paris 6-12),,,signee,14512895,actif,,Ecole Normale Supérieure de Paris-PSL; INSERM; CNRS,,choix_du,0,,,,d,Ecole Normale Supérieure de Paris-PSL; INSERM / INSERM-TRANSFERT,Ecole Normale Supérieure de Paris-PSL; INSERM / INSERM-TRANSFERT,1,1,14578880,150f25f9-6489-e45c-605d-60a6102cc9d2,,158452,convention_cadre,paris_psl,201019092N
162159,U968 (mixte Paris VI et CNRS),INSTITUT DE LA VISION,U968,Paris,63,75012,,2009-01-01,139850,DR Paris-IDF Centre Est (ex Paris 6-12),,CNRS UMR 7210,,13765160,actif,,Sorbonne Université; CNRS,,,0,,,,d,Sorbonne Université,Sorbonne Université,1,1,14578880,164189,267929a0-afcf-45c8-869b-5a5483ff9334,158452,,sorbonne_u,200918526C
162186,U974 (mixte Paris VI (AIM jusqu'à fin 2018 et CNRS jusqu'à fin 2016)),"CENTRE DE RECHERCHE EN MYOLOGIE
Inserm Transfert a le mandat de sorbonne U.
Term Sheet signé avec AIM qui désigne AIM MO dans les maladies rares et IT dans les maladies fréquentes
Il faut désigner l'AIM copro",U974,Paris,63,75651,,2009-01-01,144515,DR Paris-IDF Centre Est (ex Paris 6-12),,,,13782869,actif,,Sorbonne Université,,,0,,,,d,INSERM / INSERM-TRANSFERT; Association Institut de Myologie,Association Institut de Myologie; INSERM / INSERM-TRANSFERT,1,1,14578880,164189,,158452,,sorbonne_u,200616450J
162188,U955 (fusion avec U779) (mixte Paris XII -ENVA-EFS-ENS-CNRS-CEA VOIR EQUIPES) - IMRB,"INSTITUT MONDOR DE RECHERCHE BIOMEDICALE (IMRB)
Accord de mixité valable sur le quadriennal 1er janvier 2016-31 décembre 2019.
Pour les contrats de R&D: les parties se donnent mandat.
Equipe 3 et 10 : ENVA tutelle
Equipe 10 : EFS partenaire",U955,Créteil,63,94010,,2009-01-01,139812,DR Paris-IDF Centre Est (ex Paris 6-12),,,,13783569,actif,,Université Paris-Est Créteil Val de Marne (ex Paris XII),,alliance,0,,,renouvellee,e,Alliance,Université Paris-Est Créteil Val de Marne (ex Paris XII); INSERM / INSERM-TRANSFERT,1,1,14578880,163410,,158452,,paris_upec,200919261B
162191,U970 (mixte Paris V) - PARCC,PARCC (PARIS - CENTRE DE RECHERCHE CARDIOVASCULAIRE),U970,Paris,63,75015,,2009-01-01,142210,DR Paris-IDF Centre Nord (ex Paris 5-7),,UMR_S 970 - PARCC,,13787717,actif,,Université Paris Cité,,alliance,0,,2024,,d,Alliance,,1,1,14578880,163410,,161184,,paris_cite,201019165T
162210,U932 (mixte Institut Curie (Paris V jusqu'en 2014)),IMMUNITE ET CANCER ,U932,Paris,63,75248,,2009-01-01,138005,DR Paris-IDF Centre Est (ex Paris 6-12),,,,13791051,actif,,INSTITUT CURIE-PSL,,,0,,,,d,INSTITUT CURIE-PSL,INSTITUT CURIE-PSL,1,1,14578880,150f25f9-6489-e45c-605d-60a6102cc9d2,,158452,,paris_psl,200919034E
162220,U938 (mixte Paris VI - EFS VOIR EQUIPES) - CRSA,"CENTRE DE RECHERCHE SAINT ANTOINE
ATTENTION répartition par équipes: 
Equipes E6 Delhommeau, E8 Berenbaum, E10 Fève, E5 Housset, E02 Netchine, E 14 Seksik/Sokol  = MO SU
Equipes E01 Duval, E11 Mohty, E03 Prunier, E04 Sabbah, E13 Dorothée, Eq12 Holzenberger et E9 Corvol  = MO IT",U938,Paris,63,75012,,2009-01-01,224258,DR Paris-IDF Centre Est (ex Paris 6-12),,,,13802100,actif,,Sorbonne Université,,repartition_equipe,0,,,,d,Répartition par équipes,,1,1,14578880,164189,,158452,,sorbonne_u,200918542V
162255,U942 (mixte Paris VII) - MASCOT,Bio-Marqueurs de précision en situation de stress,U942,Paris,63,75475,,2009-01-01,224308,DR Paris-IDF Centre Nord (ex Paris 5-7),,UMR_S 942 - MASCOT,,13872987,actif,,Université Paris Cité,,alliance,0,,,,d,Alliance,,1,1,14578880,163410,,161184,,paris_cite,200918528E
162499,U960 (mixte ENS Paris) - LNC2,Laboratoire de neurosciences cognitives et computationnelles,U960,Paris,63,75005,,2009-01-01,224422,DR Paris-IDF Centre Est (ex Paris 6-12),,,,13915598,actif,,Ecole Normale Supérieure de Paris-PSL,,,0,,,,d,Ecole Normale Supérieure de Paris-PSL,Ecole Normale Supérieure de Paris-PSL,1,1,14578880,150f25f9-6489-e45c-605d-60a6102cc9d2,,158452,,paris_psl,201019072S
162500,U959 (mixte Paris VI (CNRS jusqu'en 2015)) - I3,I3 : IMMUNOLOGIE - IMMUNOPATHOLOGIE - IMMUNOTHERAPIE,U959,Paris,63,75651,,2009-01-01,af6efd6c-3b08-ffe1-8526-61eacbdfbea2,DR Paris-IDF Centre Est (ex Paris 6-12),,CNRS UMR 7211,,13915799,actif,,Sorbonne Université,,,0,,,,d,Sorbonne Université,Sorbonne Université,1,1,14578880,164189,,158452,,sorbonne_u,200918530G
162527,"U1052 (mixte Lyon I, Léon Bérard et CNRS) - CRCL",CENTRE DE RECHERCHE EN CANCEROLOGIE DE LYON (CRCL),U1052,Lyon,63,69373,,2011-01-01,141503,DR Auvergne-Rhône-Alpes,,,,14781660,actif,,CNRS; Centre de Lutte contre le Cancer Léon Bérard Lyon; Université Lyon I (Claude-Bernard),,comite_projets_pulsalys,0,,,renouvellee,a,Comité Projets,,1,1,14578880,164123,,158451,,lyon,201119413H
162535,U1026 (mixte Bordeaux) - BIOTIS,BIOINGENIERIE TISSULAIRE (BIOTIS),U1026,Bordeaux,63,33076,,2011-01-01,d5c788fe-23df-5c92-6c0a-5a702e8d63a0,DR Nouvelle Aquitaine,,,,14806038,actif,,Université de Bordeaux,,,0,,,renouvellee,b,INSERM / INSERM-TRANSFERT,INSERM / INSERM-TRANSFERT,1,1,14578880,162315,158153,158454,,bordeaux,201119376T
162549,U1032 (mixte Lyon I et Léon Bérard) - LABTAU,"APPLICATIONS DES ULTRASONS A LA THERAPIE

",U1032,Lyon,63,69424,,2011-01-01,141144,DR Auvergne-Rhône-Alpes,,,,14819019,actif,,Université Lyon I (Claude-Bernard); Centre de Lutte contre le Cancer Léon Bérard Lyon,,comite_projets_pulsalys,0,,,renouvellee,a,Comité Projets,,1,1,14578880,164123,,158451,,lyon,201119404Y
162563,U1028 (mixte Lyon I et CNRS) - CRNL,"CENTRE DE RECHERCHE EN NEUROSCIENCES DE LYON
L'Université Jean Monnet Saint Etienne est une co-tutelle secondaire. Retirée des cotutelles sur GRC le 3 mars 2023.",U1028,Bron,63,69675,,2011-01-01,225121,DR Auvergne-Rhône-Alpes,,UMR5292,,14860892,actif,,Université Lyon I (Claude-Bernard); CNRS,,comite_projets_pulsalys,0,,,renouvellee,a,Comité Projets,,1,1,14578880,164123,,158451,,lyon,201119399T
162565,U1030 (mixte Paris XI et IGR),UNITE DE RADIOTHERAPIE MOLECULAIRE,U1030,Villejuif,63,94805,,2011-01-01,143640,DR Paris-IDF Sud (ex Paris 11),,,,14860912,actif,,Université Paris-Sud (ex Paris XI); Institut Gustave Roussy,,,0,,,renouvellee,e,,,1,1,14578880,164192,,158456,,paris_saclay,201119662D
162567,U1033 (mixte Lyon I) - LyOS,"PHYSIOPATHOLOGIE , DIAGNOSTIC ET TRAITEMENTS DES MALADIES OSSEUSES",U1033,Lyon,63,69372,,2011-01-01,144091,DR Auvergne-Rhône-Alpes,,,,14860937,actif,,Université Lyon I (Claude-Bernard),,comite_projets_pulsalys,0,,,renouvellee,a,Comité Projets,,1,1,14578880,164123,,158451,,lyon,201119460J
162568,U1034 (mixte Bordeaux) - BMC,Biologie des Maladies Cardiovasculaires (BMC),U1034,Pessac,63,33600,,2011-01-01,143107,DR Nouvelle Aquitaine,,,,14860947,actif,,Université de Bordeaux,,,0,,,renouvellee,b,INSERM / INSERM-TRANSFERT,INSERM / INSERM-TRANSFERT,1,1,14578880,162315,158153,158454,,bordeaux,200716483R
162571,U1039 (mixte Grenoble I) - LRB,RADIOPHARMACEUTIQUES BIOCLINIQUES,U1039,La tronche,63,38700,,2011-01-01,140759,DR Auvergne-Rhône-Alpes,,,,14860984,actif,,Université Grenoble Alpes,,,0,,,renouvellee,a,,,1,1,14578880,164193,,158451,,grenoble,201119445T
162574,"U1046 (mixte Montpellier I, Montpellier II et CNRS depuis 2015) - PhyMedExp","PHYSIOLOGIE ET MEDECINE EXPERIMENTALE DU COEUR ET DES MUSCLES

Répartition par équipes
INSERM :
Eq: Lacampagne,  De Santa Barbara et Martinez 

UM :
Eq: Matecki, Bourdin et Koenig
",U1046,Montpellier,63,34295,,2011-01-01,142475,DR Occitanie Méditerranée,,,signee,14861031,actif,,CNRS; Université de Montpellier,,repartition_equipe,0,,,renouvellee,a,Répartition par équipes,,1,1,14578880,164224,,158453,convention_mixite,montpellier,201119374R
162575,U1047 (mixte Montpellier I) - VBMI,VIRULENCE BACTERIENNE ET MALADIES INFECTIEUSES,U1047,Nimes,63,30908,,2011-01-01,144311,DR Occitanie Méditerranée,,,signee,14861042,actif,,Université de Montpellier,,,0,,,renouvellee,a,Université de Montpellier,Université de Montpellier,1,1,14578880,164224,,158453,convention_mixite,montpellier,201119395N
162578,U1050 (mixte Collège de France et CNRS),"CENTRE INTERDISCIPLINAIRE DE RECHERCHE EN BIOLOGIE


Contrats : Choix du DU mais faut informer l'entité qui est MU.

PI/Valo : Répartition par équipe:
Germain, Brunet et De Thé sont MU Inserm
Les autres se répartissent entre le CDF et le CNRS",U1050,Paris,63,75005,,2011-01-01,c0c6028c-253a-eb38-ff45-56c619e9b35d,DR Paris-IDF Centre Est (ex Paris 6-12),,,,14861072,actif,,CNRS; Collège de France-PSL,,repartition_equipe,0,,,,d,Répartition par équipes,,1,1,14578880,150f25f9-6489-e45c-605d-60a6102cc9d2,,158452,,paris_psl,201119724W
162579,"U1054 (mixte Montpellier I, Montpellier II et CNRS) - CBS","CENTRE DE BIOCHIMIE STRUCTURALE (CBS)

Ancien DU : Christian ROUMESTAND
",U1054,Montpellier,63,34090,,2011-01-01,3004bd48-d6d8-578d-757f-56b4c964b85b,DR Occitanie Méditerranée,,,signee,14861094,actif,,Université de Montpellier; CNRS,,,0,,,renouvellee,a,INSERM / INSERM-TRANSFERT,INSERM / INSERM-TRANSFERT,1,1,14578880,164224,,158453,convention_mixite,montpellier,200717455X
162580,U1055 (mixte Grenoble I) - LBFA,LABORATOIRE DE BIOENERGETIQUE FONDAMENTALE ET APPLIQUEE (LBFA),U1055,St Martin d'Hères,63,38400,,2011-01-01,144471,DR Auvergne-Rhône-Alpes,,,,14861104,actif,,Université Grenoble Alpes,,,0,,,renouvellee,a,,,1,1,14578880,164193,,158451,,grenoble,201119430B
162583,"U1058 (mixte Montpellier I, EFS depuis 2015 et Antilles depuis 2021) - PCCEI",Pathogenèse et Contrôle des Infections Chroniques et Émergentes,U1058,Montpellier Cedex 5,63,34394,,2011-01-01,144830,DR Occitanie Méditerranée,,,signee,14861135,actif,https://www.pccei.fr/,Etablissement Français du Sang; Université de Montpellier; Université des Antilles et de la Guyane,,,0,,,renouvellee,a,INSERM / INSERM-TRANSFERT,,1,1,14578880,164224,,158453,convention_mixite,montpellier,201119394M
162584,U1059 (mixte St-Etienne et Mines St-Etienne depuis 2016) - SAINBIOSE,SAnté INgénierie BIOlogie St-Etienne,U1059,Saint-Priest-en-Jarez,63,42270,,2011-01-01,94fb2465-8ba5-4b39-f4b1-5919a260fdb9,DR Auvergne-Rhône-Alpes,,,,14861144,actif,,Ecole Nationale Supérieure des Mines de Saint-Etienne; Université Jean Monnet Saint Etienne,,comite_projets_pulsalys,0,,,renouvellee,a,Comité Projets,,1,1,14578880,164123,,158451,,,201622149K
162585,U1060 (mixte Lyon I et INRA depuis 2016 (INSA jusqu'en 2020)) - CarMeN,"LABORATOIRE DE RECHERCHE EN CARDIOVASCULAIRE, METABOLISME, DIABETOLOGIE ET NUTRITION - CARMEN",U1060,Pierre Bénite,63,69310,,2011-01-01,138884,DR Auvergne-Rhône-Alpes,,,,14861153,actif,,Université Lyon I (Claude-Bernard); Institut National de la Recherche Agronomique,,comite_projets_pulsalys,0,,,renouvellee,a,Comité Projets,,1,1,14578880,164123,,158451,,lyon,201119381Y
162678,U1037 (mixte Toulouse III et CNRS depuis 2021) - CRCT,"CENTRE DE RECHERCHE EN CANCEROLOGIE DE TOULOUSE (CRCT)

Depuis janvier 2021, le CNRS est co-tutelle de l'ensemble de l'UMR. Par contre, c'est l'Inserm qui assure la valorisation de tout le Centre

UMR1037 Inserm / Université Toulouse III Paul Sabatier
ERL5294 CNRS",U1037,Toulouse Cedex 1,63,31037,,2011-01-01,142656,DR Occitanie Pyrénées,,,,14768033,actif,,CNRS; Université Paul Sabatier Toulouse III,,,0,,,renouvellee,a,INSERM / INSERM-TRANSFERT,INSERM / INSERM-TRANSFERT,1,1,,163246,,158450,,toulouse,201119444S
162852,U1045 (mixte Bordeaux) - CRCTB,CENTRE DE RECHERCHE CARDIO-THORACIQUE DE BORDEAUX,U1045,Bordeaux,63,33076,,2011-01-01,144315,DR Nouvelle Aquitaine,,,,14783251,actif,,Université de Bordeaux,,,0,,,renouvellee,b,Université de Bordeaux,Université de Bordeaux,1,1,14578880,162315,,158454,convention_mixite,bordeaux,201119422T
163111,U1083 (mixte Angers et CNRS) - MITOVASC,"Physiopathologie Mitochondriale et Cardiovasculaire - MITOVASC / Mitochondrial and Cardiovascular Pathophysiology

Pas de mandat du CNRS",U1083,Angers,63,49045,,2012-01-01,137825,DR Grand Ouest,,,,15769556,actif,,CNRS; Université d'Angers,,,0,,,,b,Université d'Angers,Université d'Angers,1,1,14578880,163982,,161356,,angers,201722388R
163112,U1084 (mixte Poitiers) - LNEC,LABORATOIRE DE NEUROSCIENCES EXPERIMENTALES ET CLINIQUES,U1084,Poitiers,63,86022,,2012-01-01,145420,DR Nouvelle Aquitaine,,,,15769565,actif,,Université Poitiers,,,0,,,,b,INSERM / INSERM-TRANSFERT,INSERM / INSERM-TRANSFERT,1,1,14578880,b627f38d-4cab-941e-1a7d-5e299884fd66,,158454,,,201220166X
